,Review,Predicted Sentiment,Positive %,Neutral %,Negative %
1925,tasty touch sweet offsets heat chipotle right youll looking around stuff put...,Positive,58.0%,35.3%,6.8%
1926,expect dark chocolate least slightly bitter bars sweet freak hate bars like im a...,Negative,25.0%,13.8%,61.1%
1927,every kashi product purchased always great dont know stale tasted awful like sta...,Positive,57.1%,8.1%,34.8%
1928,great candy nice center complaints wish would gone size though huge actually sha...,Negative,7.3%,10.8%,81.9%
1929,used carnation generic instant milk awful stuff product excellent added oatmeal ...,Positive,41.2%,26.2%,32.6%
1930,ordered legolike candy amazoncom sons th lego birthday party treat son excited c...,Neutral,35.5%,41.9%,22.5%
1931,gggrrreeeaattt tasting almonds got directly amazon glad bit tough find around ni...,Positive,80.2%,17.2%,2.5%
1932,looking something spice kids like one mine never eat spicy food liked easy prepa...,Positive,66.4%,6.4%,27.2%
1933,stevia good product buy one ive found comes one pound container use lot stevia w...,Negative,18.4%,31.1%,50.5%
1934,love product bought weeks ago cost gone quickly buying another source...,Negative,35.9%,6.4%,57.7%
1935,male cat isnt treats even got plain freezedried chicken chunks recently excited ...,Negative,2.1%,43.8%,54.1%
1936,prefer raspberry flavor think orange flavor canbr used flavor dishes create sorb...,Neutral,34.5%,64.8%,0.7%
1937,store bought cookie good crunchy good flavorbr br even dont dietary restrictions...,Negative,13.9%,0.3%,85.8%
1938,recommended cardiac rehab center lower cholesterol skeptical total cholesterol r...,Negative,27.0%,3.9%,69.0%
1939,um mother described chips went terribly wrong never taste horrible bag smells li...,Negative,10.3%,16.4%,73.2%
1940,picked bag health food store yesterday given caffeine due mild heart arrhythmia ...,Positive,67.1%,16.8%,16.1%
1941,well bought diff items arrived time good conditionbr br regarding shipping charg...,Neutral,31.9%,59.9%,8.2%
1942,anyone interested zone g carbs g protein completely zone bars course cant find i...,Neutral,31.0%,59.7%,9.3%
1943,first found marmalade irish trade show loved love...,Neutral,11.2%,59.2%,29.6%
1944,buy omaha almost every month great meat wonderful desserts main provider meats f...,Positive,51.3%,14.8%,33.9%
1945,grape hichew best candy ever madebr taste concord grapesbr doesnt stick teeth an...,Neutral,8.3%,65.9%,25.8%
1946,oatmeal vermont really liked like natural chewy oatmeal love use brown sugar swe...,Negative,37.3%,5.0%,57.7%
1947,love everything mint combination chocolate mint terrific others oreo mint better...,Negative,15.3%,29.4%,55.3%
1948,unfortunately product sophistication seems available niedereggerbr br comparison...,Positive,48.1%,21.7%,30.2%
1949,bought food already sick cat hated much lost pounds refused eat coming cat wholl...,Negative,0.9%,43.9%,55.3%
1950,classic product flavor like mary jane candy low sugar less chewy touch ginger bi...,Negative,42.5%,13.2%,44.3%
1951,drinking cup coffee daily yrs suddenly seemed eat stomach even large amount crea...,Positive,57.6%,1.6%,40.8%
1952,effort reform omnipresent sweet tooth thankfully acquired taste small almost dai...,Neutral,32.7%,57.9%,9.4%
1953,product arrived poorly packaged interior padding postman left sunny spot porch a...,Negative,11.3%,33.5%,55.2%
1954,like beans wont purchasing bland even adding salt jalapeno peppers also weird af...,Negative,2.1%,37.6%,60.3%
1955,enjoyed tea much reviewer disappointed decaffeinated rooibos tea naturally way d...,Neutral,3.4%,76.9%,19.7%
1956,good stuff wish would run special though liked find locally cannot find cola syr...,Neutral,16.7%,49.4%,33.9%
1957,love teavana teas glad found one delicious relaxes bedor whenever want relax add...,Negative,8.2%,34.5%,57.3%
1958,ok needs sweetened mixed milk vanilla soymilk dark chocolate almond milk awesome...,Negative,26.5%,1.3%,72.2%
1959,bland boring thick crustbr br daughter wouldnt eat fish due trouts skin slimy co...,Negative,3.2%,30.5%,66.3%
1960,first tried incredible sauce noodles inc restaurant udon noodles type dish chick...,Neutral,13.6%,60.4%,25.9%
1961,friend pack house purchased fundraiser noticed little box sitting table inquired...,Negative,31.4%,27.1%,41.5%
1962,reviewer mentioned coconut smell bought taste others reading coconut oils someon...,Neutral,35.2%,46.7%,18.1%
1963,offered replace kashi chocolate peanut rolls calories less protein good substitu...,Negative,29.9%,26.3%,43.8%
1964,tried new great tastelabeled spearmint altoids horrible reason oil spearmint rem...,Positive,57.9%,34.6%,7.5%
1965,love tea really works drink cups get milk days...,Negative,21.5%,6.6%,72.0%
1966,soy nuts perfect snack right amount sea salt satisfying also love organic made g...,Positive,51.5%,16.8%,31.7%
1967,fan gevalias swiss hazelnut two yearshowever new formula new packaginglogo tassi...,Negative,20.0%,5.0%,75.0%
1968,delivered quickly comparable price petsmart dont lug home still soft stools scie...,Positive,85.9%,3.0%,11.1%
1969,really wanted like reading good reviews cheese snob like baked lays cheddar flav...,Neutral,22.6%,75.2%,2.2%
1970,let say love schultz plant food used schultz purpose plant food many years stuff...,Negative,12.4%,11.9%,75.6%
1971,fine treats love made usa despite small size problem hard pound pound dogs chew ...,Neutral,25.4%,60.0%,14.6%
1972,great product looking forward exploring flavors shippied timely manner came grea...,Negative,2.0%,2.0%,96.0%
1973,excellent food look ingredients list full fillers crappy byproducts affordable f...,Neutral,6.5%,71.0%,22.5%
1974,cat special diet works greatshe uti free year purchase vet pound bag purchasing ...,Negative,37.7%,11.0%,51.3%
1975,mother started drinking back stopped causing much pain slightly worse menstrual ...,Neutral,38.3%,53.7%,8.0%
1976,get vitamin one spoon beauty gives food beautiful red colour aroma taste spicy u...,Neutral,13.2%,65.7%,21.2%
1977,love health benefits salba chia seeds mix anything like mine orange juice oatmea...,Negative,11.9%,22.6%,65.5%
1978,two cats one one years old indoor cats excellent health saw negative review talk...,Positive,65.5%,6.8%,27.7%
1979,love everything earths best formula excellent ween adopted daughter formula issu...,Neutral,13.7%,63.6%,22.7%
1980,despite think ton fillers see ingredient list omaha site bad thing case unhealth...,Negative,27.8%,29.9%,42.2%
1981,one stocktea bags strings others round bags without strings apparently new style...,Neutral,36.7%,43.3%,20.0%
1982,bought product local publix often buy get freebr ate couple times must saw like ...,Neutral,15.3%,72.0%,12.7%
1983,love tea wish stash still tea bags able tuck gifts friends make bags give away t...,Negative,33.4%,9.5%,57.1%
1984,perfect dogs cheaper whole foods charges us please subscribe save shipped automa...,Neutral,4.3%,56.5%,39.3%
1985,emerils jazzed decaf best decaf coffee ever full flavor without bitterness one k...,Neutral,9.9%,82.3%,7.8%
1986,tea tastes good use work reused soda bottle saves bunch money whole bottle produ...,Neutral,46.5%,53.0%,0.5%
1987,tea tastes good doesnt anything complete waste money save bucks buy something el...,Positive,61.8%,1.2%,37.0%
1988,im really glad got big variety sampler gave us chance try many flavors delivered...,Negative,6.1%,21.3%,72.6%
1989,jerky packs great actually fill least stop grum bellies stay away products diffe...,Neutral,25.1%,52.4%,22.5%
1990,ive seen kind brand bars stores never chance try granola see description theres ...,Neutral,2.2%,95.2%,2.5%
1991,winnie ill years age lived outdoors really causing concern refused eat started f...,Positive,58.1%,34.6%,7.3%
1992,reluctant order beef jerky online anyway surprise shipped received time quality ...,Neutral,20.4%,64.2%,15.4%
1993,meat tenderizer flavorful without spicey salt tenderizes meat well husband diabe...,Positive,46.5%,14.6%,38.9%
1994,drinking tea years least bitter green tea ever tried bags box instead usual teas...,Negative,13.6%,37.8%,48.6%
1995,good tasting packed honey good cold sore throatplus filled vitaminsbr br nice al...,Neutral,27.3%,45.3%,27.3%
1996,think fries think fried food oil order smart fries ordered amazing best heathy s...,Positive,48.1%,11.7%,40.1%
1997,two cats one one years old indoor cats excellent health saw negative review talk...,Negative,0.1%,7.1%,92.8%
1998,best coconut oil ive tried far flavor amazing purity texture perfect bad price e...,Positive,46.8%,43.2%,9.9%
1999,drink crystal light onthe go time love focus citrus splash great taste sweet one...,Neutral,18.8%,65.4%,15.8%
2000,happybaby happy tot fruit pouches excellent kids year old loves asks every morni...,Neutral,23.1%,44.9%,32.0%
2001,love lemon olive oil ive using lemon olive oil sometime various things particula...,Neutral,21.6%,77.6%,0.8%
2002,great product completely get rid hot flashes night sweats seriously reduces numb...,Positive,67.8%,19.6%,12.6%
2003,honestly dont think another dressing healthy tasty one buying several years trul...,Negative,34.7%,15.2%,50.1%
2004,leery energy drinks never tried red bull rockstar really dont plan either though...,Negative,25.6%,35.6%,38.8%
2005,huge find stayed hampton inn one weekend serve product lady makes told brand sea...,Neutral,19.7%,41.6%,38.7%
2006,greenies great product dogs love enjoying daily treat actually keeping teeth gum...,Negative,19.6%,20.3%,60.1%
2007,ordered sale awesome ive tried chocolate chip ones good lots cookies bag enough ...,Neutral,6.4%,56.8%,36.8%
2008,purchased key lime oil make margarita cupcakes worked perfectly right amount lim...,Positive,81.5%,4.4%,14.2%
2009,expensive lot better store bought powder person makes real malts regular basis k...,Neutral,23.0%,44.1%,32.9%
2010,time since first discovered blue lotus ive tried several conventional unconventi...,Positive,54.4%,15.0%,30.6%
2011,quality sprouted flax tastes great one best things eat added super berries lasts...,Neutral,9.7%,54.1%,36.2%
2012,granola true label ingredients see pronounce pleased find real healthy ingredien...,Neutral,1.9%,75.4%,22.7%
2013,tea strong doesnt delicate flavor could enjoy best expensive sorts tea like indi...,Negative,9.4%,7.0%,83.6%
2014,found spray gourmet food store thought would fun try hate garlic smelling finger...,Negative,9.7%,19.8%,70.5%
2015,ate place potato chips lower calories quite satisfying opinion even better chips...,Neutral,3.3%,69.7%,27.0%
2016,normally fan starbucks overroasted beans excellent full flavor coffee without bu...,Positive,42.8%,33.6%,23.6%
2017,best price net yummy healthy tea always drink im sick...,Negative,37.5%,7.8%,54.7%
2018,liquid stevia ive found doesnt awful taste use everything coffee cocktails fabul...,Neutral,13.9%,69.3%,16.8%
2019,thicker noodle popular polish dish make whenever find typical bacon onion sauerk...,Positive,41.7%,25.6%,32.7%
2020,experience kind branded products positive around opinion skimp ingredients quali...,Negative,9.8%,33.2%,57.0%
2021,tons environmentally family friendly ways use baking soda mainly use baking clea...,Neutral,18.2%,63.5%,18.3%
2022,goodbr good tastebr pops plumpbr convenientbr br badbr lots unpopped kernels far...,Negative,5.2%,21.5%,73.3%
2023,im big fan green mint teas moroccan mint blend mint green natural favorite mineb...,Positive,63.3%,24.7%,12.0%
2024,eat gluten important product nongluten looked package nowhere see without gluten...,Negative,25.3%,28.7%,45.9%
2025,used bags years remained completely satisfied ive never one tear break pound dog...,Positive,37.8%,26.7%,35.5%
2026,nice product yes good although friend wondered using hamster stuff kitty litter ...,Neutral,26.1%,58.7%,15.2%
2027,like size shape bottles use oz size never leaked us discovered oz bottle actuall...,Negative,28.7%,28.8%,42.4%
2028,ive using energ products since went glutenfree diet mids every time allow someon...,Negative,30.1%,29.2%,40.7%
2029,expect taste like chocolate covered almonds disappointed however want tasty snac...,Negative,23.8%,37.3%,38.9%
2030,coffee necesity combining availability different moments developed broad palette...,Negative,33.3%,19.9%,46.8%
2031,fragrant house smelled like basmati rice hoursthe cooked grains dont fragrant sm...,Negative,23.1%,14.5%,62.5%
2032,love taste coffee sweet creamy deliciousalmost like dessert glad find amazon sin...,Positive,62.8%,32.6%,4.6%
2033,love stuff dont allow kids soda home pleasantly surprised brought home love cola...,Neutral,13.4%,75.1%,11.5%
2034,ended case stephens chocolate rasberry case stephens french vanillabr cocoa real...,Positive,59.5%,30.1%,10.4%
2035,chips calories bad really craving chocolate dont want guilt calorie candy bar al...,Neutral,29.7%,46.5%,23.8%
2036,wouldnt call butter chicken tastes bit different little oily butter chicken get ...,Neutral,29.6%,54.2%,16.2%
2037,handsdown absolute best salt vinegar chips buy great strong flavor left addicted...,Neutral,3.8%,73.7%,22.5%
2038,though bitter going forwell buy palatable...,Neutral,32.0%,57.4%,10.6%
2039,expected tried vanilla version neighbours soft nice also bigger bag oz cookies o...,Negative,8.5%,27.1%,64.4%
2040,dog likes muchand glad purchased shared friend puppy puppy likes think healthy d...,Neutral,4.1%,76.6%,19.3%
2041,shih tzu always difficult pill taker anymore trots right given pill sits patient...,Positive,63.3%,32.0%,4.8%
2042,packaged individual pouches similar youd see hotel room coffee maker coffee grea...,Neutral,4.3%,57.3%,38.4%
2043,got product seller amazoncom sample purchased fancy feast kitten food new kitty ...,Positive,53.1%,27.2%,19.6%
2044,ordered lorna doone calorie cookies amazon keep shelves grocery store around are...,Negative,33.4%,27.9%,38.7%
2045,think received bad batch theres expiration date tried onemade bit queasy afterwa...,Neutral,35.4%,40.0%,24.6%
2046,cats love lot interested see good effect dental health go visit vet months...,Neutral,3.8%,64.3%,31.8%
2047,read many formulas one like best earth best reccomend formula moms looking great...,Negative,21.1%,6.7%,72.2%
2048,shopping around nutritional yeast based price reviews found online decided go br...,Neutral,13.7%,74.8%,11.6%
2049,become favorite ceral eat bowls day taste amazing ton marshmallows love cant put...,Negative,29.5%,2.5%,68.0%
2050,also bought product tell received shipment timely manner worth cappuccino tastes...,Negative,41.2%,14.1%,44.7%
2051,one kids liked product one found almost powdery tasting flavor nice wasnt anythi...,Positive,57.6%,8.8%,33.6%
2052,ordered elsewhere didnt want stuck several packages case didnt like youre atkins...,Neutral,28.6%,51.0%,20.5%
2053,two increasingly finicky cats approved leapoffaith purchase newmans organics chi...,Negative,37.3%,4.2%,58.4%
2054,family loves kitchens india chick pea curry butter chicken curry mild chili pepp...,Negative,10.1%,43.0%,46.9%
2055,ordered coffee husband huge coffee fan really likes bold flavors product shipped...,Negative,2.8%,40.8%,56.4%
2056,tried peanut butter variety oreo fudge cremes definitely delicious rich first op...,Negative,19.5%,12.1%,68.4%
2057,great price dogs favorite treat brush teeth cant attribute sparkling white smile...,Positive,66.4%,29.8%,3.8%
2058,flavor isnt bad id hoped texture would also like normal cracker like crunching t...,Neutral,30.7%,43.8%,25.6%
2059,aspiring natural bodybuilder always trying find good food choices compared nutel...,Negative,21.3%,4.1%,74.6%
2060,hour energy drink actually work exhausted make feel great get creates enhanced a...,Negative,46.5%,1.8%,51.7%
2061,wish could comment candy tasted never received order disappointed christmas pres...,Positive,59.8%,2.1%,38.1%
2062,creamy textured soup little bite contain chicken broth vegans aware ofbr quick h...,Neutral,28.8%,66.8%,4.4%
2063,product arrived today gotta tell ya better expected ever walked store smelled ci...,Neutral,26.2%,72.5%,1.3%
2064,best combination price taste plus organic matcha tea expensive stuff high qualit...,Neutral,19.3%,73.4%,7.3%
2065,daughter severe ger tried everything prilosec every formula enfamil similac etc ...,Positive,84.0%,11.6%,4.5%
2066,son delighted receive gift christmas awhile back given gift pack various salts f...,Negative,14.0%,34.1%,51.9%
2067,tea tastes great good world fair trade environment organicbiodynamic...,Negative,28.1%,3.6%,68.3%
2068,like zico dinner really quenches thirst also like taking watch son playing sport...,Negative,4.2%,16.3%,79.5%
2069,cookies taste like ever saw inside box taste like real butter fresh ingredients ...,Neutral,40.2%,56.2%,3.6%
2070,opened package thought id try couple cookies see like instead tasty ended eating...,Positive,58.6%,8.4%,33.0%
2071,advertised lb gift total food oz half therebr crackers stale include small jar m...,Negative,20.1%,33.1%,46.8%
2072,think must instant coffee bc cups feel empty theyre done unlike coffee ones feel...,Positive,52.9%,6.5%,40.6%
2073,butterfinger hot chocolate good taste like butterfinger candy bar like using cof...,Negative,0.9%,21.8%,77.3%
2074,peanuts come pack bought one gift husband says yummy...,Neutral,11.6%,56.7%,31.6%
2075,love lundbergs rice chips find locally amazons price saves least dollar bag comb...,Negative,4.7%,15.0%,80.3%
2076,ordered dark magic kcup box therefore box x kcups received box company changes n...,Negative,35.8%,27.1%,37.0%
2077,dog arthritis hates take pills gulp food chews everything wrapped pill everythin...,Positive,64.2%,22.8%,13.0%
2078,coffee much personal taste choice favorite folgers medium roast colombian kcups ...,Positive,51.1%,4.2%,44.6%
2079,like says product good yum creamy smooth got taste im looking...,Positive,39.0%,37.4%,23.6%
2080,love celestial seasonings madagascar vanilla red tea sadly becoming harder harde...,Negative,14.9%,38.0%,47.1%
2081,weve making porridge years mom gets scottish festival best ive since scotland...,Positive,81.0%,4.2%,14.8%
2082,arizona sugar free pomegrante green tea one best tasting green teas found far su...,Neutral,46.8%,50.5%,2.7%
2083,simply best ramens creaminess dealbreaker flavor enough richness make satisfying...,Positive,43.4%,28.0%,28.6%
2084,blander maybe sure whether supposed way used libbys definitely different didnt r...,Positive,70.3%,1.1%,28.6%
2085,seriously impressed protein powder truely good hot cold perfect breakfast like p...,Positive,89.2%,9.3%,1.6%
2086,far flavored teas go rather nice blend smooth yet bold vanilla spice taste good ...,Neutral,37.1%,41.8%,21.1%
2087,decided walden farms sell product terrible fact still sell crime tastes like pac...,Neutral,24.5%,59.7%,15.9%
2088,hard find fantastic lbs much people expensive please carry smaller quantities pe...,Positive,48.9%,46.6%,4.5%
2089,love laffy taffy flavors strawberrys keeps mouth watering morecant wait till ord...,Positive,60.8%,25.2%,14.0%
2090,hadnt used millet used soups thickner doesnt taste much takes taste whatever put...,Neutral,34.5%,54.7%,10.8%
2091,midwife recommended product drank throughout second third trimesters labor slow ...,Neutral,15.9%,55.2%,28.8%
2092,excellent high quality product particular great way get finicky kitty consume li...,Positive,41.3%,27.7%,31.0%
2093,fruit rollups simply fruit rolls convenient tasty snack made mostly natural ingr...,Negative,34.4%,17.2%,48.4%
2094,say product strips dried duck breast packed sealed plastic bag cardboard label a...,Negative,20.5%,34.6%,44.9%
2095,finally prepackaged healthy snack packs feel comfortable sending sons lunch bagh...,Positive,57.7%,11.7%,30.7%
2096,pug loves great little treat know also helping clean teeth likes taste...,Negative,6.8%,40.2%,53.0%
2097,never eaten flax last saturday decided add one teaspoon oatmeal first couple bit...,Positive,49.8%,24.2%,26.0%
2098,great bars delicious easy order would def order light bar better nutrition other...,Positive,62.8%,4.4%,32.8%
2099,two extremely picky eaters truly give air plants run money eat live enough glute...,Neutral,2.1%,59.0%,38.8%
2100,nearly twice expensive cost nespressos site even shipping ripoff dont order circ...,Positive,61.8%,13.1%,25.0%
2101,husband couldnt happier found hemp seeds purchased another bag go quite lot fast...,Neutral,21.6%,53.7%,24.7%
2102,already responded surveybr happy product delivery etcbr glad find source product...,Negative,11.1%,4.9%,84.1%
2103,edens line shocking given organic mindset still use bpafree linings stopped cann...,Negative,15.6%,2.8%,81.6%
2104,ive tried many mtr ready eat meals one tastiest buy...,Neutral,5.8%,50.7%,43.4%
2105,tried pack randomly today starbucks wanted something different banana bread choc...,Neutral,22.3%,66.8%,10.9%
2106,bars delicious theyre soft chewy mildly sweet actually like sweet bars wondering...,Neutral,13.6%,49.9%,36.5%
2107,absolutely love yorkshire tea glad available amazon cup fullbodied black tea mil...,Positive,46.9%,20.8%,32.3%
2108,ordered quart size root beer paragon motla everyone daughters birthday party adu...,Positive,86.0%,4.5%,9.5%
2109,could easily gain lbs halloween new years day year husband decided try go overbo...,Neutral,9.3%,85.2%,5.4%
2110,tried goose pate first time trying pate must say pleasantly surprised tried whea...,Negative,26.4%,6.4%,67.3%
2111,unique inexpensive thru amazon item bought christmas gift cant comment tea flavo...,Negative,31.8%,1.9%,66.3%
2112,baked pork steaks bone batter came golden crispy meat cooked thoroughly tender f...,Positive,65.1%,15.1%,19.8%
2113,husband eat cereal almost every day probably five seven delivered via subscripti...,Negative,0.4%,8.6%,91.0%
2114,excellent seasoning blend love wish would bought two bottles definitely tell org...,Neutral,20.1%,71.2%,8.7%
2115,helps sleep night several friends ive recommended calm theyve tried love helps d...,Neutral,24.9%,58.6%,16.6%
2116,initially hesitated buy readytoeat product fearing might taste bad could preserv...,Neutral,32.8%,41.7%,25.6%
2117,received black truffles ordered disappointed absolutely aroma taste like dirt sm...,Neutral,29.2%,66.9%,3.9%
2118,tea great keeping milk supply nursing baby tastes great boosts milk production e...,Positive,43.1%,40.3%,16.6%
2119,use night lower diabetes sugar works husband able first reduce medications month...,Neutral,40.1%,50.3%,9.5%
2120,loved nestles diet low cal hot chocolate marshmellows calories stopped making fi...,Negative,37.8%,2.8%,59.3%
2121,well apparently im one noodle mood maybe nice cool fall weather creeping thought...,Negative,2.5%,22.1%,75.4%
2122,dog trainer getting dog come called challenging secret weapon war coming called ...,Negative,4.2%,24.1%,71.7%
2123,maybe used two pods might get desired flavor small cup coffee dont know didnt ta...,Neutral,7.4%,83.7%,8.9%
2124,difficult get consistency home making dips sauce great cooking canned href coste...,Positive,70.8%,10.4%,18.9%
2125,two cats adored petite cuisine grilled tuna treats cant say im surprised theyre ...,Negative,23.9%,14.8%,61.3%
2126,love girl scout thin mints crave little gems huge sweet fan could eat entire box...,Neutral,37.9%,48.6%,13.5%
2127,like drinking something sports drinks get electrolytes workout dont mind higher ...,Neutral,36.2%,38.0%,25.8%
2128,would buy product delicious least excellent placibo effect however spirulina pur...,Negative,2.5%,13.9%,83.6%
2129,reviewers say cant teabag pods coffee week however put pod cup pour boiling wate...,Positive,58.3%,17.0%,24.7%
2130,comes plain brown paper bag shocked disappointed packaged plain brown paper bag ...,Neutral,12.6%,64.0%,23.4%
2131,never run makes meals three year old little successful breakfast mixing mustard ...,Positive,89.5%,7.2%,3.3%
2132,enjoy hazlenut coffee one youbr husband love itbr br purchased coffee amazoncomb...,Negative,11.8%,20.6%,67.6%
2133,gracie wants go dont know relieve get treats havent tried one says assume five s...,Neutral,17.1%,45.7%,37.2%
2134,ok chocolate snob things chocolate taste really good bought box local grocer tod...,Negative,11.3%,5.6%,83.1%
2135,long live camper van beethoven blessing long time cvb fans didnt chance upgrade ...,Neutral,10.7%,46.6%,42.7%
2136,folks youre looking soy sauce thatll knock socks skip la choy kikkoman stuff int...,Positive,54.5%,0.5%,45.0%
2137,product arrived poorly packaged interior padding postman left sunny spot porch a...,Negative,11.6%,27.7%,60.6%
2138,first discovered product years back local grocery store fact flavored naturally ...,Neutral,0.3%,94.7%,5.0%
2139,really happy fact kids loved food even older kids like great way get eat veggies...,Negative,21.7%,25.0%,53.2%
2140,find mio liquid water enhancer quite handy easiest way know put together glass i...,Positive,58.4%,31.8%,9.8%
2141,go grocery stores purchase chips lunch chips always time family loves fresh nutr...,Positive,40.5%,27.4%,32.1%
2142,hands best cup coffee helps drink whole pot coffee expensive drink one via morni...,Negative,36.7%,24.7%,38.6%
2143,great snackanimal cracker young children many allergies son loves chew crackers ...,Neutral,4.9%,50.0%,45.1%
2144,never review products good bad coffee bad tobr br typical kcup coffee instant co...,Positive,72.3%,12.2%,15.5%
2145,love coffee healthy coffee smells like coffee love add ganoderma best ive tasted...,Negative,11.5%,12.3%,76.2%
2146,wellness complete health dry food salmon deboned turkey food doesnt make cat sic...,Neutral,42.4%,50.9%,6.7%
2147,get madwoman foods premade pie crust afford theyre best want make pie crust home...,Neutral,6.5%,81.3%,12.2%
2148,conditioner really softened hair left recommended minutes though left hours real...,Negative,26.5%,18.0%,55.6%
2149,mix offer lowest carbs among bread mixes great induction especially dont like eg...,Positive,77.2%,9.3%,13.5%
2150,great productvery tasty addicting ive eaten work wasnt sure obtained thrilled fi...,Neutral,33.6%,52.8%,13.5%
2151,product poorly packed split open spilling toxic chemicals overbr throw whole thi...,Negative,9.2%,3.2%,87.7%
2152,love vitamin squeeze energy drink squeeze two three however much want nice glass...,Negative,3.6%,3.2%,93.2%
2153,stash organic white tea organic spearmint organic lemongrass organic peppermint ...,Positive,65.3%,27.1%,7.6%
2154,read reviews felt leave one mustard amazing person threw horrible astounds hand ...,Negative,15.8%,10.0%,74.3%
2155,usually dip french fries ranch dressing occasionally also mixed hot sauce may fi...,Neutral,26.7%,49.2%,24.2%
2156,couldnt wait fall local stores restock shelves count chocula cereal cereal eat s...,Positive,42.1%,24.9%,33.1%
2157,scotland flavor freshness product good dont pay plane ticket get goodness...,Positive,69.9%,16.9%,13.2%
2158,looking low calorie healthy snack would satisfy occasional need something crunch...,Negative,18.8%,38.2%,43.0%
2159,bought girl friend surprise valentines day present thing huge definitely heavy r...,Negative,26.1%,20.9%,53.0%
2160,month old lab chews anything give minutes yet find toy dog chew cannot demolish ...,Neutral,26.0%,63.1%,10.9%
2161,stingers better tasting convenient gels work well provide energy exercising long...,Positive,74.2%,23.1%,2.7%
2162,im muesli eater tries granola every see ive changed mind decided like better lik...,Positive,54.8%,38.7%,6.5%
2163,wonderful crackers buy expensive costco box three packages dollars prices amazon...,Negative,17.0%,20.1%,62.9%
2164,favorite keurig coffee prefer starbucks dunkin coffee nice smooth taste without ...,Positive,79.2%,4.2%,16.6%
2165,tried popcorn little bambino popper machine happy results pops flavor taste exce...,Negative,30.5%,28.1%,41.4%
2166,popchipsoriginal flavorare great tasting low fat snack satisfying free shipping ...,Neutral,1.8%,56.5%,41.6%
2167,monthold loves yogurt snacks ive pleased happy baby line including cereal puffs ...,Negative,37.9%,4.0%,58.0%
2168,starbucks french roast kcup indeed delicious bold coffee tastes every bit good i...,Negative,11.1%,30.9%,58.0%
2169,cups excellent favorite cups recommend anyone likes sort thing...,Positive,51.1%,5.4%,43.4%
2170,hot sauce absolute perfect blend spice flavor ive tried many types hot sauces ma...,Negative,34.2%,16.1%,49.6%
2171,using food last year worked miracles two german shepherds lots energy sometimes ...,Negative,39.7%,19.7%,40.6%
2172,plum organics make super tasty green foods baby difficulty getting daughter eat ...,Negative,14.5%,7.6%,78.0%
2173,disclaimer gluten allergy lactose intolerant hadhave egg allergy however still e...,Neutral,1.5%,72.3%,26.2%
2174,highly recommend nutiva brand organic seeds oils etc organic coconut oil greatbr...,Positive,62.2%,30.5%,7.3%
2175,nuts overpriced quality good many discolored tasted stale would buy...,Positive,96.1%,1.6%,2.3%
2176,always loved old el paso jalapeno relish longer made saw relish internet ordered...,Neutral,9.0%,71.7%,19.3%
2177,love big trains vanilla chai picks afternoons im looking something hot sweet...,Positive,38.2%,37.2%,24.6%
2178,using sea salt years excellent taste know using something good us unlike process...,Negative,3.6%,30.8%,65.6%
2179,visited sicily decade ago ate many almond desserts island encountered delicious ...,Neutral,35.0%,60.6%,4.5%
2180,quick easy snack consistently tasty good quality however require different cook ...,Positive,46.1%,10.5%,43.4%
2181,quaker soft baked oatmeal cookie raisins soooo convenient purse kids lunch bag h...,Negative,16.7%,28.5%,54.8%
2182,received try one first cup odd caramel taste kept drinking finally got used seco...,Negative,36.0%,15.3%,48.6%
2183,bought im grasping straws diagnosed cll leukemia latter half everyone cares sort...,Negative,18.5%,24.1%,57.5%
2184,couldnt tell bottle water really big bottle water slight taste like one person s...,Neutral,1.5%,93.9%,4.7%
2185,im gluten free go grabbing way quick easy way ease hunger cravings good...,Negative,7.1%,7.8%,85.1%
2186,never tried farro organic ancient grain grown old country disappointed cooks eas...,Negative,24.9%,8.4%,66.7%
2187,used great food theyve changed formula dogs suffered customer service rude dogs ...,Positive,73.9%,22.5%,3.6%
2188,arrived timely manner new condition gift receiver said good...,Positive,71.5%,9.7%,18.8%
2189,seasonings flavors sicilian rosa maria also parmasan blend first personal favori...,Neutral,36.2%,49.0%,14.9%
2190,buying wouldnt stop store every day work buying amazon prime perk allowed get sh...,Neutral,29.3%,69.7%,1.0%
2191,sent bertie bunny jelly bean dispenser daughter texas easter cute bunny makes ha...,Neutral,17.3%,61.8%,20.9%
2192,dont like many bottled canned drinks days even lowcalorie ones sweet nicely nott...,Negative,26.7%,8.4%,64.9%
2193,bar lot almond flavor love im trying stop candy bar snacking afternoon feel good...,Positive,60.8%,2.7%,36.5%
2194,fantastic product especially increasing protein intake try making smoothie milk ...,Neutral,1.8%,92.9%,5.3%
2195,bull terrier loves toy igure puzzle quick occupys long enough get ready work fil...,Negative,34.7%,0.7%,64.6%
2196,love strong cup coffee sooooooo bitter overly strong medium roast christmas morn...,Positive,69.8%,7.5%,22.6%
2197,reviewers said elsewhere walden farms salad dressings walden farms products hit ...,Neutral,0.4%,98.1%,1.5%
2198,bought product use new z popcorn machine flavor absolutely delicious agree revie...,Positive,59.3%,5.5%,35.3%
2199,tried couple flavors pomegranate favorite think work great busy year old work fu...,Negative,11.2%,16.0%,72.8%
2200,used years dog cant wait get one morning greenie dance jumps around wiil anythin...,Negative,18.6%,19.9%,61.5%
